Walc,guardian,famsize,Pstatus,nursery,romantic,famrel,Dalc,age
1,mother,GT3,A,yes,no,4,1,18
1,father,GT3,T,no,no,5,1,17
3,mother,LE3,T,yes,no,4,2,15
1,mother,GT3,T,yes,yes,3,1,15
2,father,GT3,T,yes,no,4,1,16
2,mother,LE3,T,yes,no,5,1,16
1,mother,LE3,T,yes,no,4,1,16
1,mother,GT3,A,yes,no,4,1,17
1,mother,LE3,A,yes,no,4,1,15
1,mother,GT3,T,yes,no,5,1,15
2,mother,GT3,T,yes,no,3,1,15
1,father,GT3,T,yes,no,5,1,15
3,father,LE3,T,yes,no,4,1,15
2,mother,GT3,T,yes,no,5,1,15
1,other,GT3,A,yes,yes,4,1,15
2,mother,GT3,T,yes,no,4,1,16
2,mother,GT3,T,yes,no,3,1,16
1,mother,GT3,T,yes,no,5,1,16
4,mother,GT3,T,yes,no,5,2,17
3,father,LE3,T,yes,no,3,1,16
1,mother,GT3,T,yes,no,4,1,15
1,father,GT3,T,yes,no,5,1,15
3,mother,LE3,T,yes,no,4,1,16
4,mother,LE3,T,yes,no,5,2,16
1,mother,GT3,T,yes,no,4,1,15
3,mother,GT3,T,no,no,1,1,16
2,mother,GT3,T,yes,no,4,1,15
4,mother,GT3,T,yes,no,2,2,15
1,mother,LE3,A,yes,no,5,1,16
5,mother,GT3,T,yes,yes,4,5,16
4,mother,GT3,T,no,no,5,3,15
1,mother,GT3,T,yes,no,4,1,15
1,mother,GT3,T,yes,yes,4,1,15
1,mother,LE3,T,no,no,5,1,15
1,mother,GT3,T,no,no,5,1,16
1,father,GT3,T,yes,no,3,1,15
1,mother,LE3,T,yes,no,5,1,15
1,mother,GT3,A,yes,yes,2,1,16
1,mother,GT3,T,yes,no,4,1,15
1,mother,GT3,T,yes,no,4,1,15
2,mother,LE3,T,no,yes,3,1,16
4,other,LE3,T,no,yes,5,2,15
1,father,GT3,T,yes,no,4,1,15
1,father,GT3,T,yes,no,5,1,15
2,father,LE3,T,yes,no,4,2,16
1,mother,LE3,A,yes,yes,5,1,15
4,mother,LE3,A,yes,no,2,1,16
1,mother,GT3,T,yes,no,4,1,16
2,mother,GT3,T,yes,no,4,2,15
1,father,GT3,T,no,no,4,1,15
3,mother,LE3,T,yes,no,4,2,16
1,mother,LE3,T,yes,no,4,1,15
4,father,LE3,A,yes,no,5,3,15
3,mother,GT3,T,yes,no,3,2,15
4,mother,LE3,A,yes,no,5,4,15
1,mother,GT3,A,yes,yes,5,1,16
1,mother,GT3,A,yes,no,4,1,15
1,mother,GT3,T,yes,no,3,1,15
1,father,LE3,T,yes,no,4,1,15
1,mother,GT3,T,yes,no,4,1,16
3,mother,GT3,T,yes,no,2,2,16
