school,sex,age,address,famsize,Pstatus,guardian,nursery,higher,internet,romantic,famrel,Dalc,Walc,health
GP,F,18,U,GT3,A,mother,yes,yes,no,no,4,1,1,3
GP,F,17,U,GT3,T,father,no,yes,yes,no,5,1,1,3
GP,F,15,U,LE3,T,mother,yes,yes,yes,no,4,2,3,3
GP,F,15,U,GT3,T,mother,yes,yes,yes,yes,3,1,1,5
GP,F,16,U,GT3,T,father,yes,yes,no,no,4,1,2,5
GP,M,16,U,LE3,T,mother,yes,yes,yes,no,5,1,2,5
GP,M,16,U,LE3,T,mother,yes,yes,yes,no,4,1,1,3
GP,F,17,U,GT3,A,mother,yes,yes,no,no,4,1,1,1
GP,M,15,U,LE3,A,mother,yes,yes,yes,no,4,1,1,1
GP,M,15,U,GT3,T,mother,yes,yes,yes,no,5,1,1,5
GP,F,15,U,GT3,T,mother,yes,yes,yes,no,3,1,2,2
GP,F,15,U,GT3,T,father,yes,yes,yes,no,5,1,1,4
GP,M,15,U,LE3,T,father,yes,yes,yes,no,4,1,3,5
GP,M,15,U,GT3,T,mother,yes,yes,yes,no,5,1,2,3
GP,M,15,U,GT3,A,other,yes,yes,yes,yes,4,1,1,3
GP,F,16,U,GT3,T,mother,yes,yes,yes,no,4,1,2,2
GP,F,16,U,GT3,T,mother,yes,yes,yes,no,3,1,2,2
GP,F,16,U,GT3,T,mother,yes,yes,no,no,5,1,1,4
GP,M,17,U,GT3,T,mother,yes,yes,yes,no,5,2,4,5
GP,M,16,U,LE3,T,father,yes,yes,yes,no,3,1,3,5
GP,M,15,U,GT3,T,mother,yes,yes,yes,no,4,1,1,1
GP,M,15,U,GT3,T,father,yes,yes,yes,no,5,1,1,5
GP,M,16,U,LE3,T,mother,yes,yes,yes,no,4,1,3,5
GP,M,16,U,LE3,T,mother,yes,yes,yes,no,5,2,4,5
GP,F,15,R,GT3,T,mother,yes,yes,yes,no,4,1,1,5
GP,F,16,U,GT3,T,mother,no,yes,yes,no,1,1,3,5
GP,M,15,U,GT3,T,mother,yes,yes,yes,no,4,1,2,5
GP,M,15,U,GT3,T,mother,yes,yes,yes,no,2,2,4,1
GP,M,16,U,LE3,A,mother,yes,yes,yes,no,5,1,1,5
GP,M,16,U,GT3,T,mother,yes,yes,yes,yes,4,5,5,5
GP,M,15,U,GT3,T,mother,no,yes,yes,no,5,3,4,5
GP,M,15,U,GT3,T,mother,yes,yes,yes,no,4,1,1,5
GP,M,15,R,GT3,T,mother,yes,yes,yes,yes,4,1,1,5
GP,M,15,U,LE3,T,mother,no,yes,yes,no,5,1,1,2
GP,M,16,U,GT3,T,mother,no,yes,yes,no,5,1,1,5
GP,F,15,U,GT3,T,father,yes,yes,no,no,3,1,1,5
GP,M,15,U,LE3,T,mother,yes,yes,yes,no,5,1,1,4
GP,M,16,R,GT3,A,mother,yes,yes,yes,yes,2,1,1,5
GP,F,15,R,GT3,T,mother,yes,yes,yes,no,4,1,1,5
GP,F,15,R,GT3,T,mother,yes,yes,no,no,4,1,1,2
GP,F,16,U,LE3,T,mother,no,yes,yes,yes,3,1,2,3
GP,M,15,U,LE3,T,other,no,yes,yes,yes,5,2,4,5
GP,M,15,U,GT3,T,father,yes,yes,yes,no,4,1,1,5
GP,M,15,U,GT3,T,father,yes,yes,yes,no,5,1,1,1
GP,F,16,U,LE3,T,father,yes,yes,yes,no,4,2,2,5
GP,F,15,U,LE3,A,mother,yes,yes,yes,yes,5,1,1,5
GP,F,16,U,LE3,A,mother,yes,yes,yes,no,2,1,4,3
GP,M,16,U,GT3,T,mother,yes,yes,yes,no,4,1,1,2
GP,M,15,U,GT3,T,mother,yes,yes,no,no,4,2,2,5
GP,F,15,U,GT3,T,father,no,yes,yes,no,4,1,1,3
GP,F,16,U,LE3,T,mother,yes,yes,yes,no,4,2,3,4
GP,F,15,U,LE3,T,mother,yes,yes,yes,no,4,1,1,5
GP,M,15,U,LE3,A,father,yes,yes,no,no,5,3,4,5
GP,F,15,U,GT3,T,mother,yes,yes,yes,no,3,2,3,5
GP,F,15,U,LE3,A,mother,yes,yes,yes,no,5,4,4,1
